market_type,security_code,company_key,security_name,challenge_reason,requested_at_utc
A_SHARE,600519,,贵州茅台,Reviewer challenged Moutai ranking and moat/technology-barrier treatment.,2026-05-14T00:00:00+00:00
A_SHARE,300750,,宁德时代,Reviewer challenged CATL ranking industry-outlook score and governance-risk treatment.,2026-05-14T00:00:00+00:00
A_SHARE,601899,,紫金矿业,Reviewer challenged absence of a global gold and copper leader from the watchlist.,2026-05-14T00:00:00+00:00
A_SHARE,002428,,云南锗业,Reviewer challenged exclusion of a strategic germanium capability despite weak current profit.,2026-05-14T00:00:00+00:00
A_SHARE,002176,,江特电机,Reviewer asked whether exclusion is reasonable under a capability-first review.,2026-05-14T00:00:00+00:00
A_SHARE,600089,,特变电工,Reviewer challenged exclusion of a grid and UHV equipment leader.,2026-05-14T00:00:00+00:00
A_SHARE,688271,,联影医疗,Reviewer challenged exclusion of a high-end medical-equipment platform.,2026-05-14T00:00:00+00:00
A_SHARE,688617,,惠泰医疗,Reviewer challenged exclusion of an interventional and electrophysiology-device leader.,2026-05-14T00:00:00+00:00
A_SHARE,002594,,比亚迪,Reviewer challenged exclusion of BYD from the watchlist.,2026-05-14T00:00:00+00:00
A_SHARE,601600,,中国铝业,Reviewer challenged whether the prior high rank was justified.,2026-05-14T00:00:00+00:00
A_SHARE,603259,,药明康德,Reviewer challenged exclusion of a CRDMO platform leader.,2026-05-14T00:00:00+00:00
A_SHARE,600036,,招商银行,Reviewer challenged whether selecting only one bank was reasonable.,2026-05-14T00:00:00+00:00
USA,UNH,,UnitedHealth Group,Reviewer challenged exclusion of UnitedHealth Group.,2026-05-14T00:00:00+00:00
